,Thickness_ft,Bulk Density_gg per cc,Resistivity_ohmsm,Effective Porosity_Fraction,Clay Volume_ Fraction,Water Saturation_Fraction,TOC_Fraction
0,219.7137448,2.41515072,3.1518406400000005,0.0669732,0.2289488,0.46648639999999997,0.05782831499999999
1,160.30860560000002,2.4308985599999997,3.16033016,0.0347904,0.2970784,0.5443288000000001,0.051316125000000004
2,149.94493440000002,2.4246652799999997,4.0879332,0.06216719999999999,0.31172,0.4267128,0.055787865
3,209.8118896,2.39423232,2.88925104,0.08748,0.2279576,0.47911200000000004,0.057744855
4,167.49216320000002,2.42024448,2.88188576,0.057663599999999995,0.302924,0.523564,0.052154370000000005
5,233.5362064,2.41225152,2.9326304800000003,0.0662412,0.22956880000000002,0.4678584,0.058086195
6,124.47970000000001,2.41733952,3.4598252,0.0545328,0.2885256,0.44933680000000004,0.05392977
7,167.49216320000002,2.42024448,2.88188576,0.057663599999999995,0.302924,0.523564,0.052154370000000005
8,140.5978512,2.39150304,3.2474540800000002,0.0839496,0.26478480000000004,0.3680968,0.055716600000000005
9,208.976196,2.38772736,2.3758051200000003,0.094164,0.2708344,0.4684704,0.05695254
10,116.23868399999999,2.41471968,2.77917016,0.0494904,0.31421520000000003,0.3918208,0.052847415
11,164.6897464,2.44313088,3.4673152799999998,0.040060799999999994,0.32750880000000004,0.5488352,0.05340033
12,164.6897464,2.44313088,3.4673152799999998,0.040060799999999994,0.32750880000000004,0.5488352,0.05340033
13,135.93597440000002,2.4313468799999995,4.0567488,0.0493848,0.3325312,0.4646608,0.052913865
14,112.9632328,2.43255936,4.0053592799999995,0.041729999999999996,0.3247816,0.474928,0.043262085
15,162.05369840000003,2.39077728,3.60454848,0.0938064,0.1698224,0.4067944,0.05637522
16,98.44632560000001,2.4543014399999996,4.034484480000001,0.046571999999999995,0.2864608,0.5418888000000001,0.058105710000000005
17,140.27833280000002,2.4123158399999998,4.056416,0.0607812,0.2861384,0.3884264,0.056070554999999994
18,128.70915520000003,2.4267052799999997,5.205029440000001,0.0482916,0.2518768,0.4288448,0.048513765
19,134.8084592,2.41979808,3.82148832,0.0510696,0.2478304,0.4409304,0.045786345
20,96.1943728,2.43956832,3.8806404,0.063042,0.1915552,0.4000344,0.05190531
21,127.49824240000001,2.4165168,3.42594928,0.07577519999999999,0.24714800000000003,0.3645336,0.058215674999999995
22,64.593756,2.4359088,7.130901440000001,0.0507564,0.3323688,0.35331280000000004,0.05418585
23,158.5878176,2.3943168,3.88513528,0.088626,0.204188,0.4062448,0.056205660000000005
24,147.314636,2.4067488,3.84755488,0.0710952,0.2743264,0.4499792,0.055693799999999995
25,143.5598512,2.39584704,2.61280968,0.08084039999999999,0.220796,0.3826872,0.056881455
26,140.254956,2.3962415999999997,2.72990952,0.0793068,0.2302656,0.3719912,0.05653821
27,160.1748904,2.43648864,3.07903024,0.039402,0.30777600000000005,0.5118472,0.050595135000000006
28,100.98078000000001,2.40895008,4.01115,0.0729552,0.25134080000000003,0.3616008,0.052641600000000004
29,109.65733680000001,2.43153696,3.4583026400000003,0.04842,0.21797840000000002,0.43430640000000004,0.051803010000000003
30,109.25596960000001,2.4322281599999998,3.5597057600000004,0.0483828,0.2133384,0.4281872,0.051735165
31,180.87089840000002,2.4379535999999997,3.02731416,0.046992,0.3139432,0.5190472,0.05631510000000001
32,159.79971920000003,2.4266064000000003,3.1244512,0.056417999999999996,0.29293600000000003,0.5109752000000001,0.052424715000000004
33,150.8331424,2.42336448,2.8002832,0.0560988,0.226256,0.5032928,0.05166912
34,168.47711200000003,2.42028576,2.9273368800000004,0.057852,0.30781200000000003,0.5216120000000001,0.052387455
35,140.5546144,2.43063744,5.54888984,0.08093879999999999,0.2321744,0.29193440000000004,0.058956225
36,142.0377688,2.42336448,3.94062448,0.05727959999999999,0.298408,0.44357680000000005,0.05494293
37,101.2015808,2.4752284799999997,3.017378,0.0394608,0.2667568,0.6111048000000001,0.0581196
38,225.23706080000002,2.4194131199999998,2.4865588800000005,0.072186,0.20702240000000002,0.5225752,0.055730924999999994
39,67.5200624,2.45694432,4.7990488000000004,0.0457572,0.3023128,0.5670368,0.05749309500000001
40,151.860388,2.4064867199999997,3.25291824,0.074994,0.2445032,0.4151368,0.055871025000000005
41,165.710388,2.42006016,2.7716468,0.05739,0.29430480000000003,0.5257240000000001,0.051706875000000006
42,135.1526856,2.4389443199999996,3.8839559200000005,0.0503124,0.3138664,0.4860744000000001,0.05169498
43,139.3744752,2.42917152,3.19519304,0.054084,0.3310136,0.4438864,0.05452038
44,133.47625760000003,2.42399904,4.49239856,0.058106399999999996,0.2246112,0.3130816,0.054151229999999995
45,137.447168,2.3933039999999997,3.52332656,0.08034119999999999,0.2610288,0.3655248,0.05536932
46,145.75379600000002,2.4241392,3.6473060000000004,0.0644508,0.2777208,0.42696560000000006,0.056150114999999994
47,115.12650160000001,2.41716096,3.9145683200000003,0.0591648,0.2263328,0.40007760000000003,0.05544777
48,141.0777224,2.42052096,3.63388584,0.06673079999999999,0.2782088,0.431396,0.042700169999999996
49,146.94748560000002,2.44197024,3.6423400000000004,0.06140999999999999,0.3000952,0.46287839999999997,0.038093385
50,132.1628664,2.4250060799999997,4.97795376,0.08085959999999999,0.2377952,0.2934136,0.056732595
51,124.27990720000001,2.4144470399999998,4.12799816,0.07832399999999999,0.24582160000000003,0.3460032,0.052474860000000005
52,141.0777224,2.42052096,3.63388584,0.06673079999999999,0.2782088,0.431396,0.042700169999999996
